Ref_area;REF_AREA;date;obsValue
United States;USA;1994-02-01;109,3476486931551
Germany;DEU;1994-02-01;90,4020758492558
Europe;EU27;1994-02-01;93,9775842165367
Italy;ITA;1994-02-01;97,6722173193698
France;FRA;1994-02-01;94,0649346623591
United States;USA;1994-03-01;110,7893234954073
Germany;DEU;1994-03-01;89,7535739441551
Europe;EU27;1994-03-01;94,2576908562387
Italy;ITA;1994-03-01;99,1619631449761
France;FRA;1994-03-01;94,6658183737575
United States;USA;1994-04-01;111,7517918729181
Germany;DEU;1994-04-01;91,0505777543566
Europe;EU27;1994-04-01;95,5182031111794
Italy;ITA;1994-04-01;100,8379491300313
France;FRA;1994-04-01;96,0784176545957
United States;USA;1994-05-01;112,4080188254995
Germany;DEU;1994-05-01;90,5317710435056
Europe;EU27;1994-05-01;95,5182031111794
Italy;ITA;1994-05-01;100,7448729128031
France;FRA;1994-05-01;96,9217666133954
United States;USA;1994-06-01;112,7511361202006
Germany;DEU;1994-06-01;91,1802859155324
Europe;EU27;1994-06-01;96,2184761856907
Italy;ITA;1994-06-01;101,7690622022833
France;FRA;1994-06-01;97,2801958407098
United States;USA;1994-07-01;113,1556096292626
Germany;DEU;1994-07-01;90,7911743989311
Europe;EU27;1994-07-01;96,3585359807980
Italy;ITA;1994-07-01;101,9553023617323
France;FRA;1994-07-01;98,3449247084433
United States;USA;1994-08-01;114,1499008194456
Germany;DEU;1994-08-01;90,9208825601069
Europe;EU27;1994-08-01;96,7787024156073
Italy;ITA;1994-08-01;102,1415425211812
France;FRA;1994-08-01;98,8931004553314
United States;USA;1994-09-01;114,6007021950545
Germany;DEU;1994-09-01;91,6990926263834
Europe;EU27;1994-09-01;97,1988818009294
Italy;ITA;1994-09-01;102,6070113323146
France;FRA;1994-09-01;98,4819740268239
United States;USA;1994-10-01;115,6837407667237
Germany;DEU;1994-10-01;93,9040276309634
Europe;EU27;1994-10-01;98,4593811053573
Italy;ITA;1994-10-01;102,3276949556375
France;FRA;1994-10-01;99,7680720401739
United States;USA;1994-11-01;116,6266346803247
Germany;DEU;1994-11-01;94,1634309863889
Europe;EU27;1994-11-01;99,4397608195706
Italy;ITA;1994-11-01;104,0036809406926
France;FRA;1994-11-01;101,3388059778603
United States;USA;1994-12-01;117,9005774221559
Germany;DEU;1994-12-01;94,4228343418144
Europe;EU27;1994-12-01;100,2801066397020
Italy;ITA;1994-12-01;106,7038562152280
France;FRA;1994-12-01;100,8749715848425
United States;USA;1995-01-01;118,0934275916541
Germany;DEU;1995-01-01;92,7367060480855
Europe;EU27;1995-01-01;99,5798206146780
Italy;ITA;1995-01-01;106,1452234618738
France;FRA;1995-01-01;101,1068887813514
United States;USA;1995-02-01;117,8229009780691
Germany;DEU;1995-02-01;93,9040276309634
Europe;EU27;1995-02-01;100,0000000000000
Italy;ITA;1995-02-01;105,9589833024249
France;FRA;1995-02-01;101,5285632607513
United States;USA;1995-03-01;118,1252504043263
Germany;DEU;1995-03-01;92,8664012423353
Europe;EU27;1995-03-01;99,4397608195706
Italy;ITA;1995-03-01;106,0521472446457
France;FRA;1995-03-01;100,8433489587998
United States;USA;1995-04-01;117,7204498365524
Germany;DEU;1995-04-01;92,9961094035110
Europe;EU27;1995-04-01;99,8599402048926
Italy;ITA;1995-04-01;106,4245398385509
France;FRA;1995-04-01;101,1385114073941
United States;USA;1995-05-01;118,1626005092304
Germany;DEU;1995-05-01;93,7743194697876
Europe;EU27;1995-05-01;100,2801066397020
Italy;ITA;1995-05-01;107,2625766935748
France;FRA;1995-05-01;100,4638343930178
United States;USA;1995-06-01;118,7258283170703
Germany;DEU;1995-06-01;92,7367060480855
Europe;EU27;1995-06-01;99,8599402048926
Italy;ITA;1995-06-01;107,2625766935748
France;FRA;1995-06-01;101,2755499624575
United States;USA;1995-07-01;117,9235696496057
Germany;DEU;1995-07-01;92,6069978869097
Europe;EU27;1995-07-01;99,8599402048926
Italy;ITA;1995-07-01;106,8900963746770
France;FRA;1995-07-01;101,7499431696850
United States;USA;1995-08-01;119,2835124797428
Germany;DEU;1995-08-01;91,3099811097821
Europe;EU27;1995-08-01;99,7198804097853
Italy;ITA;1995-08-01;109,0316388958582
France;FRA;1995-08-01;100,8960461599928
United States;USA;1995-09-01;120,3326187100477
Germany;DEU;1995-09-01;93,1258175646868
Europe;EU27;1995-09-01;100,4201664348093
Italy;ITA;1995-09-01;108,1005258236061
France;FRA;1995-09-01;101,5180259731761
United States;USA;1995-10-01;120,1885329945005
Germany;DEU;1995-10-01;90,7911743989311
Europe;EU27;1995-10-01;99,2997139749760
Italy;ITA;1995-10-01;108,9384749536374
France;FRA;1995-10-01;100,3267958379544
United States;USA;1995-11-01;120,2764790821424
Germany;DEU;1995-11-01;91,4396892709579
Europe;EU27;1995-11-01;99,2997139749760
Italy;ITA;1995-11-01;108,3798422002832
France;FRA;1995-11-01;99,3780201868168
United States;USA;1995-12-01;120,6775184747290
Germany;DEU;1995-12-01;91,6990926263834
Europe;EU27;1995-12-01;100,2801066397020
Italy;ITA;1995-12-01;109,9627519681102
France;FRA;1995-12-01;101,8553590987056
United States;USA;1996-01-01;119,9237299083745
Germany;DEU;1996-01-01;91,8287878206332
Europe;EU27;1996-01-01;99,5798206146780
Italy;ITA;1996-01-01;108,3798422002832
France;FRA;1996-01-01;100,7273742155695
United States;USA;1996-02-01;121,6765356632996
Germany;DEU;1996-02-01;91,3099811097821
Europe;EU27;1996-02-01;99,0195943847613
Italy;ITA;1996-02-01;107,0763365341259
France;FRA;1996-02-01;100,0105372875752
United States;USA;1996-03-01;121,3766555303175
Germany;DEU;1996-03-01;91,4396892709579
Europe;EU27;1996-03-01;98,7394877450593
Italy;ITA;1996-03-01;105,7728308679686
France;FRA;1996-03-01;101,0858034428838
United States;USA;1996-04-01;122,8863585446542
Germany;DEU;1996-04-01;91,3099811097821
Europe;EU27;1996-04-01;98,3193213102500
Italy;ITA;1996-04-01;104,9347940129447
France;FRA;1996-04-01;100,5060050699529
United States;USA;1996-05-01;123,8468809228289
Germany;DEU;1996-05-01;91,9584959818090
Europe;EU27;1996-05-01;99,2997139749760
Italy;ITA;1996-05-01;105,3072743318426
France;FRA;1996-05-01;102,0872762952146
United States;USA;1996-06-01;125,0087242911411
Germany;DEU;1996-06-01;92,6069978869097
Europe;EU27;1996-06-01;99,5798206146780
Italy;ITA;1996-06-01;105,5865907085197
